Nth day,30 days,7 days,1 day
0,21818.0,9009.0,2109.0
1,22539.0,9068.0,2178.0
2,23237.0,9213.0,2177.0
3,23760.0,9462.0,2022.0
4,24392.0,9597.0,1976.0
5,24987.0,9600.0,1975.0
6,25563.0,9672.0,1967.0
7,26101.0,9728.0,2089.0
8,26571.0,9828.0,2211.0
9,27040.0,9841.0,2159.0
10,27406.0,9883.0,2090.0
11,27584.0,10054.0,2080.0
12,27905.0,10083.0,2067.0
13,28356.0,10225.0,2158.0
14,28863.0,10273.0,2180.0
15,29278.0,10384.0,2376.0
16,29688.0,10581.0,2330.0
17,29870.0,10650.0,2183.0
18,30175.0,10742.0,2174.0
19,30664.0,10922.0,2261.0
20,31053.0,11067.0,2266.0
21,31402.0,11065.0,2332.0
22,32016.0,11077.0,2409.0
23,32405.0,11158.0,2394.0
24,32419.0,11085.0,2099.0
25,32545.0,11016.0,2054.0
26,32657.0,10901.0,1955.0
27,32677.0,10642.0,1956.0
28,32769.0,10296.0,2014.0
29,32556.0,9783.0,1833.0
30,32179.0,9180.0,1680.0
